Exercise,Difficulty Level,"Target Muscle Group ",Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,"Primary Equipment ",# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,"Continuous or Alternating Arms ",Grip,Load Position (Ending),"Continuous or Alternating Legs ",Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification,
Single Arm Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Kettlebell,1,Slant Board,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Kettlebell,2,Slant Board,1,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding,
Alternating Double Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Kettlebell,2,Slant Board,1,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding,
Barbell Kneeling Rollout,Intermediate,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,Barbell,1,,0,Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Barbell Reverse Grip Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,0,Standing,Double Arm,Continuous,Supinated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Barbell Seated Reverse Grip Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,Bench (Flat),1,Seated,Double Arm,Continuous,Supinated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Cable Tall Kneeling Pallof Press,Novice,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,0,Tall Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Transverse Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,
Tire Sledge Hammer Staggered Stance Slam,Novice,Abdominals,Obliques,Rectus Abdominis,Posterior Deltoids,Tire,1,Sledge Hammer,1,Staggered Stance,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Other,Compound,Bilateral,Ballistics,
Tire Macebell Staggered Stance Slam,Novice,Abdominals,Obliques,Rectus Abdominis,Posterior Deltoids,Tire,1,Macebell,1,Staggered Stance,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Other,Compound,Bilateral,Ballistics,
Barbell Hang Power Clean,Intermediate,Glutes,Gluteus Maximus,,,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,"Olympic Weightlifting ",
Landmine Goblet Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Landmine Low Hold Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,,0,Standing,Double Arm,Continuous,Neutral,Low Hold,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Bodyweight Push Up,Novice,Chest,Pectoralis Major,Triceps Brachii,,Bodyweight,1,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,
Barbell Close Grip Incline Bench Press,Novice,Triceps,Triceps Brachii,Pectoralis Major,,Barbell,1,Bench (Incline),1,Seated,Double Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Barbell Close Grip Decline Bench Press,Novice,Triceps,Triceps Brachii,Pectoralis Major,,Barbell,1,Bench (Decline),1,Supine,Double Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Double Dumbbell Push Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Single Arm Dumbbell Push Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,
Alternating Double Dumbbell Push Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,,0,Standing,Double Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,
Single Arm Kettlebell Bottoms Up Push Jerk,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,1,,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,
Cable Rope Tall Kneeling Overhead Tricep Extension,Novice,Triceps,"Triceps Brachii ",Anterior Deltoids,Rectus Abdominis,Cable,1,,0,Tall Kneeling,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding,
Alternating Double Kettlebell Push Jerk,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,2,,0,Standing,Double Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,
Double Dumbbell Push Jerk,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*,
Alternating Double Kettlebell Overhead Press,Novice,Shoulders,Anterior Deltoids,,,Kettlebell,2,,0,Standing,Double Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Dumbbell Push Jerk,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Dumbbell,1,,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,
Alternating Double Dumbbell Push Jerk,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Dumbbell,2,,0,Standing,Double Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,
Double Plate Seated Lu Raise,Novice,Shoulders,Infraspinatus,Posterior Deltoids,,Weight Plate,2,Bench (Flat),1,Seated,Double Arm,Continuous,Other,Overhead,Continuous,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Unsorted*,Compound,Bilateral,Mobility,
Double Kettlebell Bottoms Up Floor Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Kettlebell,2,,0,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Alternating Double Kettlebell Bottoms Up Floor Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Kettlebell,2,,0,Supine,Double Arm,Alternating,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Floor Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Kettlebell,1,,0,Supine,Single Arm,Continuous,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Trap Bar Bent Over Row,Novice,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Trap Bar,1,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding,
Trap Bar Pendlay Row,Novice,Back,Latissimus Dorsi,,,Trap Bar,1,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding,
Trap Bar Shrug,Novice,Trapezius,Upper Trapezius,Levator Scapulae,Rhomboids,Trap Bar,1,,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding,
Bodyweight Tuck L Sit,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Tuck L Sit,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Parallette Straddle L Sit,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,0,L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Ring Turned Out L Sit,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,L Sit,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Battle Rope Power Slam,Novice,Abdominals,Rectus Abdominis,,,Battle Ropes,1,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Unsorted*,
"Bodyweight Manna ",Grand Master,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Other,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Unsorted*,Compound,Bilateral,Unsorted*,
Ring Tuck Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Ring Advanced Tuck Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Ring Straddle Back Lever,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Ring Half Lay Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Ring Single Leg Out Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Unilateral,Calisthenics,
Ring Full Back Lever,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Trap Bar Floor Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Trap Bar,1,,0,Supine,Double Arm,Continuous,Neutral,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Trap Bar Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Trap Bar,1,,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Ring Handstand Lower to Back Lever,Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Combo Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Unsorted*,Compound,Bilateral,Calisthenics,
Ring Tuck Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Ring Advanced Tuck Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Ring Straddle Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Ring Half Lay Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Ring Single Leg Out Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Unilateral,Calisthenics,
Ring Full Front Lever,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Ring Front Lever Pull to Inverted Hang,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Combo Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Ring Inverted Hang,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Single Arm Barbell Kneeling Rollout,Expert,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,Barbell,1,,0,Kneeling,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Single Arm Barbell Standing Rollout,Master,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Ring Circle Front Lever,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Trap Bar Tall Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Trap Bar,1,,0,Tall Kneeling,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Trap Bar Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Trap Bar,1,Bench (Flat),1,Supine,Double Arm,Continuous,Neutral,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Alternating Double Dumbbell Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,2,,0,Seated Floor,Double Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Dumbbell Half Kneeling Ipsilateral Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,1,,0,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Ipsilateral,Bodybuilding,
Double Dumbbell Half Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,2,,0,Half Kneeling,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Double Dumbbell Tall Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,2,,0,Tall Kneeling,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Alternating Double Dumbbell Tall Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,2,,0,Tall Kneeling,Double Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Alternating Double Dumbbell Half Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,2,,0,Half Kneeling,Double Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Dumbbell Tall Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,1,,0,Tall Kneeling,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Double Plate Incline Bench Prone Y Raise,Novice,Shoulders,Posterior Deltoids,,,Weight Plate,2,Bench (Incline),1,Prone,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Frontal Plane,,,Upper Body,Pull,Pull,Bilateral,Postural,
Single Arm Kettlebell Pendlay Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,
Barbell Floor Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Barbell,1,,0,Supine,Double Arm,Continuous,Neutral,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Ring Plank,Novice,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Single Arm Ring Plank,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,1,,0,Prone,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,
Battle Rope Alternating Outward Circle,Novice,Shoulders,Anterior Deltoids,Biceps Brachii,,Battle Ropes,1,,0,Standing,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,Frontal Plane,,Upper Body,Other,Compound,Unilateral,Unsorted*,
Battle Rope Alternating Inward Circle,Novice,Shoulders,Anterior Deltoids,Biceps Brachii,,Battle Ropes,1,,0,Standing,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,Frontal Plane,,Upper Body,Other,Compound,Unilateral,Unsorted*,
Ring Support Hold,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Ring Side Plank,Advanced,Abdominals,Obliques,Rectus Abdominis,,Gymnastic Rings,1,,0,Side Plank,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,
Barbell Reverse Grip Bent Over Row,Novice,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Barbell,1,,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding,
Macebell Offset Bent Over Row,Novice,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Macebell,1,,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,Anti-Lateral Flexion,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding,
Macebell Reverse Grip Offset Bent Over Row,Novice,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Macebell,1,,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,Anti-Lateral Flexion,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding,
Alternating Single Arm Kettlebell Pendlay Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Kettlebell,1,,0,Standing,Single Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,
"Bodyweight Hollow Body Rock ",Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Supine,Double Arm,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Single Arm Dumbbell Power Snatch,Intermediate,Glutes,Gluteus Maximus,"Anterior Deltoids ",,Dumbbell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,
Alternating Single Arm Dumbbell Power Snatch,Intermediate,Glutes,Gluteus Maximus,"Anterior Deltoids ",,Dumbbell,1,,0,Standing,Single Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,
Single Arm Dumbbell Squat Snatch,Intermediate,Quadriceps,Quadriceps Femoris,Quadriceps Femoris,,Dumbbell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,
Alternating Single Arm Dumbbell Squat Snatch,Intermediate,Quadriceps,Quadriceps Femoris,Quadriceps Femoris,,Dumbbell,1,,0,Standing,Single Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,
Single Arm Cable Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Cable,1,,0,Single Leg Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding,
Double Kettlebell Suitcase Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Kettlebell,2,Slant Board,1,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding,
Single Arm Kettlebell Suitcase Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Kettlebell,1,Slant Board,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Front Rack Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
